,account_value,date,daily_return
661,124930937.67226712,2018-08-16,0.0131178677997489
662,124898910.39261007,2018-08-17,-0.0002563598757342
663,125597728.77949236,2018-08-20,0.0055950719240509
664,125121000.1756856,2018-08-21,-0.0037956785400452
665,124747724.2508168,2018-08-22,-0.0029833195414413
666,124948910.96658646,2018-08-23,0.0016127485850174
667,125798350.64021347,2018-08-24,0.006798295935962
668,126721878.49226676,2018-08-27,0.0073413351395568
669,127013546.36183134,2018-08-28,0.0023016378310898
670,127149995.32237928,2018-08-29,0.0010742866761568
671,126364088.7738004,2018-08-30,-0.0061809404442861
672,126432194.55945209,2018-08-31,0.0005389647194276
673,125651874.46621476,2018-09-04,-0.0061718464664505
674,126209120.47869802,2018-09-05,0.0044348404259826
675,126837162.95422864,2018-09-06,0.0049762051518031
676,126431224.24641363,2018-09-07,-0.0032004713631248
677,125224318.86693531,2018-09-10,-0.0095459439444014
678,125797974.57792749,2018-09-11,0.0045810248055868
679,126325999.40298802,2018-09-12,0.0041974032319054
680,127351555.81817056,2018-09-13,0.0081183320933875
681,127339901.55085632,2018-09-14,-9.15125633083047e-05
682,126791253.9322713,2018-09-17,-0.0043085286850634
683,127328463.65955985,2018-09-18,0.0042369620192848
684,127212102.21925469,2018-09-19,-0.0009138682503566
685,128398913.846907,2018-09-20,0.0093293924630442
686,128587799.92685483,2018-09-21,0.0014710878331343
687,127448363.22901992,2018-09-24,-0.0088611571119738
688,127153112.40138072,2018-09-25,-0.0023166309881016
689,126541764.2863377,2018-09-26,-0.0048079681534904
690,126976039.3319938,2018-09-27,0.0034318712727396
691,127133664.25804766,2018-09-28,0.0012413753561941
692,127840791.2881441,2018-10-01,0.0055620754284337
693,127672249.21622942,2018-10-02,
694,127139527.42756893,2018-10-03,-0.0041725730683905
695,125532214.73663592,2018-10-04,-0.0126421162910856
696,124932362.82840209,2018-10-05,-0.0047784698891222
697,124860723.95765874,2018-10-08,-0.0005734212426746
698,124922006.7831038,2018-10-09,0.0004908094675619
699,119931822.25419968,2018-10-10,-0.0399464006175338
700,117726482.73826186,2018-10-11,-0.0183882765598567
701,119469332.43986252,2018-10-12,0.0148042280807412
702,118601797.84707758,2018-10-15,-0.0072615672580379
703,121102809.1055071,2018-10-16,0.0210874649780121
704,121070063.3514812,2018-10-17,-0.0002703963208431
705,119495002.58282492,2018-10-18,-0.0130094981786182
706,119730257.43063484,2018-10-19,0.0019687421459058
707,119550662.09912369,2018-10-22,-0.0014999995436844
708,119384480.79372913,2018-10-23,-0.0013900492266346
709,116823728.7923507,2018-10-24,-0.0214496221313963
710,118982939.60765384,2018-10-25,0.0184826390804651
711,117146031.72651264,2018-10-26,-0.015438414004549
712,115250447.25174198,2018-10-29,-0.0161813801699749
713,115691731.38104554,2018-10-30,0.0038289146795209
714,117118694.21002688,2018-10-31,0.0123341816389752
715,118050828.11952773,2018-11-01,0.0079588823610794
716,118033094.31330736,2018-11-02,-0.0001502217858427
717,119105895.85637532,2018-11-05,0.0090889894000432
718,119930184.42608312,2018-11-06,0.0069206361597897
719,123283472.84886988,2018-11-07,0.0279603374149191
720,123688265.51410092,2018-11-08,0.0032834300971327
721,122798600.91539282,2018-11-09,-0.007192797109817
722,120464338.63654202,2018-11-12,-0.0190088670510104
723,119853768.47543438,2018-11-13,-0.0050684722799982
724,118568851.95358364,2018-11-14,-0.010720701886934
725,119006582.07730114,2018-11-15,0.0036917800628522
726,120518432.26433356,2018-11-16,0.0127039207465884
727,118090154.1984168,2018-11-19,-0.0201486031662839
728,115937086.8401676,2018-11-20,-0.0182324036484159
729,115751227.18686254,2018-11-21,-0.0016031078438367
730,115659880.5807532,2018-11-23,-0.0007891631763168
731,117525486.6384916,2018-11-26,0.0161301053431042
732,118982465.43215366,2018-11-27,0.0123971304891825
733,122837786.66040573,2018-11-28,0.0324024318562339
734,122735103.55671522,2018-11-29,-0.0008359244047141
735,123562926.62584282,2018-11-30,0.0067447946442238
736,124638461.17815736,2018-12-03,0.0087043466975442
737,121304245.52002075,2018-12-04,-0.0267510977479953
738,120899281.73740797,2018-12-06,-0.0033384139267077
739,118081366.44521224,2018-12-07,-0.0233079572657527
740,118104456.94644757,2018-12-10,0.0001955473749197
741,118159120.22282235,2018-12-11,0.0004628383872049
742,118967838.1572944,2018-12-12,0.0068443124233403
743,119291079.11410604,2018-12-13,0.002717044890605
744,116657792.62688649,2018-12-14,-0.0220744627911422
745,116482805.98329268,2018-12-17,-0.0014999996112859
746,116520862.27303012,2018-12-18,0.0003267116499829
747,115589025.27799974,2018-12-19,-0.0079971687202837
748,113361591.49227896,2018-12-20,-0.0192702878181009
749,111865695.03763673,2018-12-21,-0.0131957961682648
750,108575350.24865729,2018-12-24,-0.0294133495337638
751,113499553.16440156,2018-12-26,0.0453528623621009
752,114603940.48913825,2018-12-27,0.0097303231065326
753,114489253.91113526,2018-12-28,-0.0010007210704404
754,115742398.40263258,2018-12-31,0.0109455206378581
755,114420006.2592138,2019-01-02,-0.0114253044836567
756,111568051.09583604,2019-01-03,
757,114200890.11839671,2019-01-04,0.0235985033053871
758,114487779.78012988,2019-01-07,0.002512149086016
759,115223384.03091964,2019-01-08,0.0064251770119261
760,115568354.24633364,2019-01-09,0.0029939253938369
761,115823946.44967784,2019-01-10,0.0022116106525096
762,115778319.56798851,2019-01-11,-0.0003939330603724
763,115650174.76934056,2019-01-14,-0.0011068116995143
764,116788747.84029391,2019-01-15,0.0098449749273978
765,118407748.174499,2019-01-16,0.0138626397161054
766,118276624.56459282,2019-01-17,-0.0011073904531394
767,120175591.17619573,2019-01-18,0.016055299334027
768,119450518.35554564,2019-01-22,-0.0060334450078717
769,119689603.35274658,2019-01-23,0.0020015400560196
770,119277215.48371264,2019-01-24,-0.003445477781546
771,120089662.16355774,2019-01-25,0.006811415546132
772,119073078.07125583,2019-01-28,-0.008465209027879
773,119386827.83297902,2019-01-29,0.0026349345024525
774,120723580.8067072,2019-01-30,0.0111968212741047
775,121131796.99832824,2019-01-31,0.0033814122219804
776,120950099.3552473,2019-02-01,-0.0014999995672766
777,121550008.11699842,2019-02-04,0.0049599691521466
778,122371924.25937946,2019-02-05,0.0067619587617788
779,122111225.3730606,2019-02-06,-0.0021303815225318
780,121292827.0272896,2019-02-07,-0.0067020729934593
781,121383921.88959327,2019-02-08,0.0007510325592723
782,120856831.4046982,2019-02-11,-0.0043423418578821
783,122263040.8147494,2019-02-12,0.0116353324318292
784,122859786.321165,2019-02-13,0.0048808331809755
785,122328596.087665,2019-02-14,-0.0043235484075434
786,122145103.25754024,2019-02-15,-0.001499999476764
787,122028694.24536768,2019-02-19,-0.0009530387143487
788,122425611.3486783,2019-02-20,0.0032526538595303
789,121857929.90043747,2019-02-21,-0.004636950079212
790,122337112.52303168,2019-02-22,0.0039323056200422
791,122208947.703247,2019-02-25,-0.0010476364624064
792,121963758.87065446,2019-02-26,-0.0020063083530341
793,120742078.67465028,2019-02-27,-0.0100167476578006
794,119836669.71489048,2019-02-28,-0.0074987027695581
795,120570328.3480502,2019-03-01,0.0061221547202974
796,119412162.4038146,2019-03-04,-0.0096057293705987
797,119784031.74623977,2019-03-05,0.0031141663875713
798,119114864.7754588,2019-03-06,-0.0055864455472545
799,118322858.91343,2019-03-07,-0.0066490934067866
800,118454095.50350945,2019-03-08,0.0011091397831712
801,118496665.86219198,2019-03-11,0.0003593827507741
802,117424649.50409973,2019-03-12,-0.0090468060876833
803,118349475.4824274,2019-03-13,0.0078759100600542
804,118628854.71695232,2019-03-14,0.0023606292582716
805,118738875.43510307,2019-03-15,0.0009274364016516
806,119518237.58958942,2019-03-18,0.0065636646096778
807,119318178.9324903,2019-03-19,-0.001673875561871
808,118226272.73537832,2019-03-20,-0.009151214063783
809,119189616.77376316,2019-03-21,0.0081483076146793
810,116704632.62266304,2019-03-22,-0.0208489985819563
811,116217884.07371652,2019-03-25,-0.0041707731561978
812,117415420.2299028,2019-03-26,0.0103042329993436
813,117068442.21222274,2019-03-27,-0.0029551315917506
814,117652463.62389807,2019-03-28,0.0049887177162279
