date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WMT,XOM
2016-04-25,0,0,0,0,0,0,-939,0,0,0,0,0,0,0,-3470,0,0,0,0,0,0,0,0,0,0,3126,0,0,0
2016-04-26,0,7890,0,0,0,-4541,0,0,0,0,0,0,0,-1114,0,0,0,0,0,-627,0,0,-335,0,0,0,1,0,0
2016-04-27,0,0,0,0,0,-1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3635,0,0,4114,1,0,0
2016-04-28,0,0,0,0,0,-3451,0,0,0,0,0,0,0,-446,0,0,0,0,-1,-1231,0,0,-3727,0,0,0,17581,0,0
2016-04-29,-4054,0,0,0,0,-3924,0,0,0,0,0,-3778,0,-7638,0,0,0,0,0,-4570,0,0,-8673,4722,0,23299,2,1,0
2016-05-02,-3811,0,0,0,0,-4998,0,0,0,0,0,-908,0,-9545,0,0,0,0,0,-5366,0,0,-12243,8632,0,21394,1,0,0
2016-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,-6014,-1400,0,0,0,0,-5876,0,0,-7864,14938,0,0,0,0,0
2016-05-04,0,0,0,0,1,0,0,0,0,0,0,0,0,-6014,-1400,0,0,0,0,-5876,0,0,-7864,15022,0,0,2,0,0
2016-05-05,0,0,0,0,0,0,0,0,0,0,0,0,1,-6014,-1400,0,0,0,0,-5876,0,0,-7864,14897,0,0,2,0,0
2016-05-06,0,0,0,0,1,0,0,0,765,0,0,0,14422,-8915,-4773,0,0,0,0,0,0,0,-11340,14229,0,0,0,0,0
2016-05-09,0,0,0,0,0,0,0,0,3384,0,0,0,16577,-13666,-3956,0,0,0,0,0,0,0,-10079,13289,0,1,0,1,0
2016-05-10,-5227,0,0,0,1,0,0,0,1497,0,0,0,18099,-15555,-3789,0,0,0,0,0,0,0,-8379,14286,0,1,0,13711,0
2016-05-11,-5434,12717,4823,0,0,0,0,0,0,0,0,0,14491,-15840,-6757,0,0,0,0,-416,0,1,0,0,0,0,-3076,15841,0
2016-05-12,0,13017,1371,0,1,0,0,0,0,0,0,0,14606,-14581,-5091,0,0,0,0,0,0,0,0,1,0,0,-208,14974,0
2016-05-13,0,0,0,0,0,0,0,0,0,0,0,0,15199,-1364,-4003,0,0,0,0,0,0,0,0,0,0,0,-1732,0,0
2016-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5091,0,0,0,0,0,0,0,0,0,0,0,-208,13438,0
2016-05-17,0,3609,0,0,0,0,0,0,0,0,0,0,18388,0,-5156,0,0,0,0,-8608,0,0,0,0,0,0,-262,0,0
